construct,term,estimate,standard_error,statistic,p_value,ci95_low,ci95_high,data_status
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C2]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.0625,0.221858,-0.281711,0.778165,-0.497334,0.372334,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C3]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.0,0.221858,-0.0,1.0,-0.434834,0.434834,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C4]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",0.109375,0.221858,0.492995,0.622016,-0.325459,0.544209,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C5]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.070313,0.221858,-0.316925,0.7513,-0.505147,0.364522,synthetic_demo
PA8,"C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.03125,0.221858,-0.140856,0.887984,-0.466084,0.403584,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C1]:C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.148437,0.313755,-0.4731,0.636142,-0.763386,0.466511,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C2]:C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.039062,0.313755,-0.1245,0.900919,-0.654011,0.575886,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C3]:C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.125,0.313755,-0.3984,0.690335,-0.739949,0.489949,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C4]:C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",-0.109375,0.313755,-0.3486,0.72739,-0.724324,0.505574,synthetic_demo
PA8,"C(condition_id, Treatment(reference=""C0""))[T.C5]:C(target_identity, Treatment(reference=""ai""))[T.human]:C(judge_model_id, Treatment(reference=""deepseek-v4-pro""))[T.gpt-5.6-terra]",0.203125,0.313755,0.6474,0.517373,-0.411824,0.818074,synthetic_demo
